detailedoccupation,detailedname,majorgroup,minorgroup,broadgroup,majorname,minorname,broadname
11-1011,Chief Executives,11-0000,11-1000,11-1010,Management Occupations,Top Executives,Chief Executives
11-1021,General and Operations Managers,11-0000,11-1000,11-1020,Management Occupations,Top Executives,General and Operations Managers
11-1031,Legislators,11-0000,11-1000,11-1030,Management Occupations,Top Executives,Legislators
11-2011,Advertising and Promotions Managers,11-0000,11-2000,11-2010,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Advertising and Promotions Managers
11-2021,Marketing Managers,11-0000,11-2000,11-2020,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Marketing and Sales Managers
11-2022,Sales Managers,11-0000,11-2000,11-2020,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Marketing and Sales Managers
11-2031,Public Relations and Fundraising Managers,11-0000,11-2000,11-2030,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Public Relations and Fundraising Managers
11-3011,Administrative Services Managers,11-0000,11-3000,11-3010,Management Occupations,Operations Specialties Managers,Administrative Services Managers
11-3021,Computer and Information Systems Managers,11-0000,11-3000,11-3020,Management Occupations,Operations Specialties Managers,Computer and Information Systems Managers
11-3031,Financial Managers,11-0000,11-3000,11-3030,Management Occupations,Operations Specialties Managers,Financial Managers
11-3051,Industrial Production Managers,11-0000,11-3000,11-3050,Management Occupations,Operations Specialties Managers,Industrial Production Managers
11-3061,Purchasing Managers,11-0000,11-3000,11-3060,Management Occupations,Operations Specialties Managers,Purchasing Managers
11-3071,"Transportation, Storage, and Distribution Managers",11-0000,11-3000,11-3070,Management Occupations,Operations Specialties Managers,"Transportation, Storage, and Distribution Managers"
11-3111,Compensation and Benefits Managers,11-0000,11-3000,11-3110,Management Occupations,Operations Specialties Managers,Compensation and Benefits Managers
11-3121,Human Resources Managers,11-0000,11-3000,11-3120,Management Occupations,Operations Specialties Managers,Human Resources Managers
11-3131,Training and Development Managers,11-0000,11-3000,11-3130,Management Occupations,Operations Specialties Managers,Training and Development Managers
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",11-0000,11-9000,11-9010,Management Occupations,Other Management Occupations,"Farmers, Ranchers, and Other Agricultural Managers"
11-9021,Construction Managers,11-0000,11-9000,11-9020,Management Occupations,Other Management Occupations,Construction Managers
11-9031,"Education Administrators, Preschool and Childcare Center/Program",11-0000,11-9000,11-9030,Management Occupations,Other Management Occupations,Education Administrators
